foto,strana,slogan,name,scenari,rezhisser,nameang,genre,dlina
/storage/294516_500x800x250.jpg,Великобритания,,Таинственный Альберт Ноббс (,Гленн Клоуз,Родриго Гарсия,Albert Nobbs,Драма, 113 мин.
,,,Игра без правил (,,,,,
/storage/233839_500x800x250.jpg,США,,Игра без правил (,Джез Баттеруерт,Даг Лайман,Fair Game,Боевик, 108 мин.
,,,Назад во времени (,,,,,
/storage/1684381_500x800x250.jpg,США,,Назад во времени (,,Джейсон Арон,Back in Time,Документальный, 95 мин.
,,,Специалист по выживанию (,,,,,
/storage/1682939_500x800x250.jpg,Великобритания,,Специалист по выживанию (,Стивен Финглтон,Стивен Финглтон,The Survivalist,Фантастика, 104 мин.
/storage/1682595_500x800x250.jpg,Испания,,Второе происхождение (,Марсель Баррена,Карлес Порта,Segon origen,Ужасы, 106 мин.
,,,Бодибилдер (,,,,,
/storage/1682790_500x800x250.jpg,Франция,,Бодибилдер (,Рошди Зем,Рошди Зем,Bodybuilder,Драма, 100 мин.
,,,Метаморфозы (,,,,,
/storage/1661499_500x800x250.jpg,Франция,,Метаморфозы (,Кристоф Оноре,Кристоф Оноре,Metamorphoses,Фэнтези, 102 мин.
,,,Крид: Наследие Рокки (,,,,,
/storage/1647945_500x800x250.jpg,США,,Крид: Наследие Рокки (,Райан Куглер,Райан Куглер,Creed,Драма, 133 мин.
,,,Правда (,,,,,
/storage/1636815_500x800x250.jpg,Австралия,,Правда (,Джеймс Вандербилт,Джеймс Вандербилт,Truth,Драма, 125 мин.
,,,Бабушка (,,,,,
/storage/1639873_500x800x250.jpg,США,,Бабушка (,Пол Вейц,Пол Вейц,Grandma,Комедия, 82 мин.
,,,Дэдпул (,,,,,
/storage/1173894_500x800x250.jpg,Австралия,,Семейные демоны (,Ursula Dabrowsky,Ursula Dabrowsky,Family Demons,Ужасы, 80 мин.
,,,Бэтмен: Дурная кровь (,,,,,
/storage/1673533_500x800x250.jpg,США,,Бэтмен: Дурная кровь (,J.M. DeMatteis,Джей Олива,Batman: Bad Blood,Мультфильм, 72 мин.
,,,Партнер (,,,,,
/storage/1682726_500x800x250.jpg,Индия,,Партнер (,Shabbir Ahmad,Дэвид Дхаван,Partner,Мелодрама, 155 мин.
/storage/277113_500x800x250.jpg,США,,"Я, Алекс Кросс (",Марк Морс,Роб Коэн,Alex Cross,Боевик, 101 мин.
/storage/1683161_500x800x250.jpg,Япония,,Только через твой труп (,,Такаши Миике,Kuime,Ужасы, 93 мин.
,,,Дальняя дорога (,,,,,
